
Artist,Title,Length,

"Nina Simone","I Put a Spell On You",154

"Nine Inch Nails","Closer (AHZ Remix)",210

"Nosferatu Overture","Omens Of Nosferatu",183

"Oingo Boingo","Dead Man's Party",379

"Otep","Apex Predator",323

"Ours Samplus","Spell On You",240

"Ox","So Cold",153

"Ozzy Osbourne","Bark at the Moon",258

"Portishead","Biscuit",304

"Portishead","Glory Box",306

"Portishead","Strangers",238

"Pretty Lights","I Put A Spell On You (Remix)",287

"Bernard Herrmann - City of Prague Philharmonic Orchestra","Psycho",182

"Queens Of The Stone Age","Burn The Witch",218

"Queens Of The Stone Age","You Got A Killer Scene There, Man",297

"Radiohead","Climbing Up the Walls",286

"Radiohead","We Suck Young Blood",297

"Razihel","Children Of The Night (Monstercat Release)",304

"Redbone","The Witch Queen Of New Orleans",165

"RJD2","Ghostwriter Remix The Horror Ep",343

"Rob Zombie","Dragula",223

"Rob Zombie","I'm Your Boogieman",270

"Rob Zombie","Living Dead Girl (Subliminal Seduction Mix)",249

"Rob Zombie","Living Dead Girl",201

"Rob Zombie","Mars Needs Women (Griffin Boice Remix)",204

"Rob Zombie","Meet The Creeper (Pink Pussy Mix)",287

"Rob Zombie","Pussy Liquor (Ki Theory Remix)",205

"Robert Johnson","Me And The Devil Blues",156

"Robert Plant and Alison Krauss","Nothin'",335

"Rockwell","Somebody's Watching Me",239

"Run DMC","Ghostbusters",249

"Sacrifice","The Encounter Remix",372

"Screamin Jay Hawkins","I Put A Spell On You (Al'Tarba Remix)",172

"Screamin Jay Hawkins","I Put A Spell On You",149

"Simon Viklund","Something Wicked This Way Comes",267

"Danny Elfman","Sleepy Hollow",192

"Steve Miller Band","Abracadabra",220

"Stevie Wonder","Superstition (Funkanomics Remix)",229

"Stevie Wonder","Superstition",268

"C418","Stranger Things Theme Song",248

"Sweet","Hellraiser",198

"Talking Heads","Psycho Killer",312

"The Avalanches","Frontier Psychiatrist (Ultimate Single Version)",295

"The Backstreet Boys","Everybody (Remix)",283

"The Bird And The Bee","Witch",235

"The Black Keys","Dead And Gone",221

"The Black Keys","Howlin' For You",192

"The Black Keys","Sinister Kid",225

"The Charlie Daniels Band","The Devil Went Down To Georgia",216

"The Doors","People Are Strange",135

"The Guess Who","Clap For The Wolfman",207

"The Heavy","Short Change Hero",242

"Jack Marshall","The Munsters",151

"WwW.LanzaMp3.CoM","The Munsters (Version 2)",163

"The Murder City Devils","Press Gang (Latch Bros Remix)",238

"The Prodigy","The Way It Is",348

"The Rolling Stones","Paint It, Black",226

"The Rolling Stones","Sympathy For The Devil",429

"Rachel Elkind","The Shining",175

"The Specials","Ghost Town",220

"The Swingin Phillies","Frankensteins Party",162

"Ennio Morricone","The Thing",269

"The White Stripes","Saint James Infirmary Blues",144

"Thresh","Cling Clang (Go The Chains)",87

"Tim Tailor","Hell Them (Rene Rodrigezz Edit)",221

"Van Halen","Runnin with the Devil",217

"Warren Zevon","Werewolves of London",202

"White Zombie","More Human Than Human",269
